FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXB,FLUXERRB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg01zzq_flt.fits,F125W,1,0.0,3,8,2014-04-11,08:40:31,88.435623,78156.3359375,123.58892822265625,186.60792541503906,2.4698832035064697,0.6267175674438477,145.05262756347656,172.66458129882812,150.0187530517578,169.39999389648438,1.3545328378677368
icdg02aeq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:43:25,88.435623,78824.390625,121.40219116210938,198.67300415039062,2.674332618713379,0.8530197143554688,141.65782165527344,159.12156677246094,144.91952514648438,153.84921264648438,0.928704023361206
icdg02afq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:45:12,88.435623,78938.5859375,121.14414978027344,195.9521026611328,2.6707403659820557,0.7929878234863281,141.65626525878906,159.11795043945312,144.9093780517578,153.8312530517578,0.814060628414154
icdg02agq_flt.fits,F125W,2,1.0,0,0,2014-04-11,09:46:59,88.435623,78860.0703125,121.2164535522461,192.7405548095703,2.653330087661743,0.7496423721313477,141.65277099609375,159.1184844970703,144.89453125,153.8484344482422,0.85097336769104
icdg02alq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:54:55,88.435623,78197.0,121.27005004882812,196.501953125,2.67158842086792,0.6843070983886719,151.79693603515625,159.06558227539062,154.9929656982422,153.7781219482422,1.2336806058883667
icdg02anq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:56:42,88.435623,78976.765625,121.64568328857422,197.48048400878906,2.6752572059631348,0.6336345672607422,151.79397583007812,159.05712890625,154.9609375,153.76718139648438,0.8843027949333191
icdg02aoq_flt.fits,F125W,2,1.0,1,2,2014-04-11,09:58:29,88.435623,78796.46875,121.57847595214844,204.4549560546875,2.7009389400482178,0.6454057693481445,151.78695678710938,159.0570068359375,154.98593139648438,153.77108764648438,0.8375813364982605
icdg02arq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:04:39,88.435623,79413.7421875,119.57212829589844,203.81248474121094,2.7093653678894043,0.6211929321289062,141.6144561767578,170.4261474609375,144.86328125,165.0554656982422,1.1628365516662598
icdg02asq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:06:26,88.435623,79507.71875,119.64515686035156,200.9252166748047,2.685326099395752,0.6124839782714844,141.6139373779297,170.4303741455078,144.8546905517578,165.0226593017578,0.8569759130477905
icdg02atq_flt.fits,F125W,2,1.0,2,4,2014-04-11,10:08:13,88.435623,79572.0625,119.55408477783203,201.04127502441406,2.6842169761657715,0.592839241027832,141.6022186279297,170.4228973388672,144.8546905517578,165.0187530517578,0.8882975578308105
icdg02axq_flt.fits,F125W,2,1.0,3,6,2014-04-11,10:16:09,88.435623,78224.125,118.45884704589844,206.9421844482422,2.619004726409912,0.6181497573852539,151.7354278564453,170.38587951660156,154.9453125,165.00936889648438,1.1826727390289307
icdg02ayq_flt.fits,F125W,2,1.0,3,6,2014-04-11,10:17:56,88.435623,78520.046875,118.78567504882812,208.1526641845703,2.6290335655212402,0.6084051132202148,151.7344970703125,170.388916015625,154.93515014648438,165.0203094482422,1.0420191287994385
icdg03baq_flt.fits,F125W,3,0.0,0,0,2014-04-11,11:19:03,88.435623,78945.96875,122.86905670166016,194.91879272460938,2.5258259773254395,0.8590021133422852,134.95069885253906,161.43382263183594,139.96875,158.13436889648438,0.7466023564338684
icdg03bbq_flt.fits,F125W,3,0.0,0,0,2014-04-11,11:20:50,88.435623,79171.59375,122.79124450683594,195.30128479003906,2.5405683517456055,0.7529106140136719,134.95021057128906,161.43038940429688,139.93203735351562,158.125,0.7037448287010193
