FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg05d2q_flt.fits,F125W,5,0.0,2,4,2014-04-11,14:56:02,88.435623,77579.671875,186.76193237304688,0.6486740112304688,134.84353637695312,172.6771697998047,139.74142456054688,169.39370727539062,1.2158985137939453
icdg05d6q_flt.fits,F125W,5,0.0,3,6,2014-04-11,15:03:58,88.435623,77599.484375,186.859375,0.6313257217407227,144.9755401611328,172.63812255859375,149.87428283691406,169.35394287109375,1.2296836376190186
icdg05d7q_flt.fits,F125W,5,0.0,3,6,2014-04-11,15:05:45,88.435623,77739.546875,189.83592224121094,0.5846481323242188,144.97705078125,172.6374053955078,149.87579345703125,169.35321044921875,0.9956307411193848
icdg05d8q_flt.fits,F125W,5,0.0,3,6,2014-04-11,15:07:32,88.435623,77966.328125,189.79310607910156,0.5504951477050781,144.98056030273438,172.63568115234375,149.8793182373047,169.3514862060547,0.9806501269340515
icdg06ddq_flt.fits,F125W,6,1.0,0,0,2014-04-11,16:11:33,88.435623,77435.765625,184.5345916748047,0.7355356216430664,141.60067749023438,159.0521697998047,144.80787658691406,153.76290893554688,1.0203224420547485
icdg06deq_flt.fits,F125W,6,1.0,0,0,2014-04-11,16:13:20,88.435623,77918.703125,181.44996643066406,0.6868324279785156,141.59585571289062,159.04141235351562,144.8030548095703,153.75213623046875,1.012309193611145
icdg06dfq_flt.fits,F125W,6,1.0,0,0,2014-04-11,16:15:07,88.435623,77916.984375,179.11392211914062,0.6515846252441406,141.58795166015625,159.0430908203125,144.79515075683594,153.75381469726562,0.9797011613845825
icdg06dkq_flt.fits,F125W,6,1.0,1,2,2014-04-11,16:23:03,88.435623,77860.5625,186.68759155273438,0.6544208526611328,151.7299346923828,158.99485778808594,154.9384765625,153.705078125,1.15847909450531
icdg06dlq_flt.fits,F125W,6,1.0,1,2,2014-04-11,16:24:50,88.435623,77857.8359375,191.71200561523438,0.6416473388671875,151.723388671875,158.98838806152344,154.9319305419922,153.69859313964844,1.0924665927886963
icdg06dmq_flt.fits,F125W,6,1.0,1,2,2014-04-11,16:26:37,88.435623,77984.2109375,193.0373077392578,0.5981044769287109,151.7147979736328,158.98048400878906,154.92335510253906,153.69068908691406,1.1611337661743164
icdg06dpq_flt.fits,F125W,6,1.0,2,4,2014-04-11,16:32:47,88.435623,78340.3125,195.53485107421875,0.6039342880249023,141.54464721679688,170.362548828125,144.75099182128906,165.07679748535156,1.1464956998825073
icdg06dqq_flt.fits,F125W,6,1.0,2,4,2014-04-11,16:34:34,88.435623,78569.421875,193.2079620361328,0.5929832458496094,141.5426025390625,170.36016845703125,144.7489471435547,165.07440185546875,0.9736686944961548
icdg06drq_flt.fits,F125W,6,1.0,2,4,2014-04-11,16:36:21,88.435623,78466.1015625,192.50039672851562,0.5887460708618164,141.5431365966797,170.36154174804688,144.74949645996094,165.07579040527344,0.8942101001739502
icdg06dvq_flt.fits,F125W,6,1.0,3,6,2014-04-11,16:44:17,88.435623,77299.2890625,198.1231689453125,0.610753059387207,151.68606567382812,170.3345184326172,154.8937530517578,165.0482635498047,1.073833703994751
icdg06dwq_flt.fits,F125W,6,1.0,3,6,2014-04-11,16:46:04,88.435623,77604.484375,194.66957092285156,0.5736122131347656,151.68707275390625,170.34214782714844,154.89476013183594,165.05589294433594,0.8510875105857849
icdg06dxq_flt.fits,F125W,6,1.0,3,6,2014-04-11,16:47:51,88.435623,77719.09375,193.99789428710938,0.5768747329711914,151.6919403076172,170.34432983398438,154.89964294433594,165.05807495117188,0.9402449727058411
