FILENAME,FILTER,ORBIT,POSANGLE,DITHER,EXPOSURESET,OBSDATE,OBSTIME,EXPOTIME,FLUXA,FLUXERRA,FLUXERRB,FLUXB,SKY,PRIMARY_X,PRIMARY_Y,SECONDARY_X,SECONDARY_Y,CHISQ
icdg02ahq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:48:52,88.435623,60096.953125,53.27696990966797,3.3186628818511963,356.5292053222656,0.7856559753417969,141.5297088623047,159.285400390625,144.74765014648438,153.9734344482422,56.38630676269531
icdg02ajq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:50:39,88.435623,60135.9375,53.5234260559082,3.322681427001953,356.3120422363281,0.7726759910583496,141.52871704101562,159.2818145751953,144.75,153.96719360351562,57.52125549316406
icdg02akq_flt.fits,F160W,2,1.0,0,1,2014-04-11,09:52:26,88.435623,60176.33203125,53.90719223022461,3.3199782371520996,355.2608337402344,0.7655162811279297,141.53021240234375,159.2760772705078,144.7507781982422,153.9609375,57.40032958984375
icdg02apq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:00:22,88.435623,59919.10546875,50.69718551635742,3.379124641418457,358.502685546875,0.7681784629821777,151.64405822753906,159.212158203125,154.84530639648438,153.91171264648438,54.760536193847656
icdg02aqq_flt.fits,F160W,2,1.0,1,3,2014-04-11,10:02:09,88.435623,59989.25,50.6688117980957,3.3674819469451904,355.7879638671875,0.7641143798828125,151.6414337158203,159.19876098632812,154.85546875,153.91171264648438,54.492576599121094
icdg02auq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:10:06,88.435623,62323.5546875,54.90414810180664,3.334057331085205,337.0773010253906,0.5927424430847168,141.4910430908203,170.56002807617188,144.72500610351562,165.2257843017578,40.041805267333984
icdg02avq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:11:53,88.435623,62329.67578125,54.42451477050781,3.3705601692199707,344.8728332519531,0.5580034255981445,141.48658752441406,170.56362915039062,144.6999969482422,165.25234985351562,41.13042068481445
icdg02awq_flt.fits,F160W,2,1.0,2,5,2014-04-11,10:13:40,88.435623,62241.80078125,54.616600036621094,3.3289029598236084,335.4407653808594,0.5590724945068359,141.48858642578125,170.55990600585938,144.70703125,165.2117156982422,42.25303268432617
icdg02azq_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:19:49,88.435623,59347.4609375,53.01560592651367,3.262946605682373,357.7091369628906,0.8128290176391602,151.6188507080078,170.53280639648438,154.81640625,165.2179718017578,50.0322151184082
icdg02b0q_flt.fits,F160W,2,1.0,3,7,2014-04-11,10:21:36,88.435623,59904.7109375,53.7719841003418,3.2346127033233643,357.6339111328125,0.8239068984985352,151.62078857421875,170.53555297851562,154.82656860351562,165.22421264648438,48.34560775756836
