FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF
icdg04bzq_flt.fits,F125W,4,227.0,0,0,2014-04-11,12:54:41,88.435623,-3.331390380859375,-13.655166625976562
icdg04c0q_flt.fits,F125W,4,227.0,0,0,2014-04-11,12:56:28,88.435623,-3.3314666748046875,-13.658370971679688
icdg04c1q_flt.fits,F125W,4,227.0,0,0,2014-04-11,12:58:15,88.435623,-3.29443359375,-13.667129516601562
icdg04c2q_flt.fits,F160W,4,227.0,0,1,2014-04-11,13:00:08,88.435623,-3.4088287353515625,-13.653060913085938
icdg04c4q_flt.fits,F160W,4,227.0,0,1,2014-04-11,13:01:55,88.435623,-3.3993988037109375,-13.648483276367188
icdg04c5q_flt.fits,F160W,4,227.0,0,1,2014-04-11,13:03:42,88.435623,-3.3982086181640625,-13.656448364257812
icdg04c6q_flt.fits,F125W,4,227.0,1,2,2014-04-11,13:06:11,88.435623,6.813011169433594,-13.714797973632812
icdg04c7q_flt.fits,F125W,4,227.0,1,2,2014-04-11,13:07:58,88.435623,6.806243896484375,-13.715591430664062
icdg04c8q_flt.fits,F125W,4,227.0,1,2,2014-04-11,13:09:45,88.435623,6.8005523681640625,-13.714309692382812
icdg04c9q_flt.fits,F160W,4,227.0,1,3,2014-04-11,13:11:38,88.435623,6.734077453613281,-13.707595825195312
icdg04caq_flt.fits,F160W,4,227.0,1,3,2014-04-11,13:13:25,88.435623,6.7520904541015625,-13.707077026367188
icdg04cbq_flt.fits,F125W,4,227.0,2,4,2014-04-11,13:15:55,88.435623,-3.382049560546875,-2.416839599609375
icdg04ccq_flt.fits,F125W,4,227.0,2,4,2014-04-11,13:17:42,88.435623,-3.4022674560546875,-2.4274444580078125
icdg04cdq_flt.fits,F125W,4,227.0,2,4,2014-04-11,13:19:29,88.435623,-3.411712646484375,-2.413238525390625
icdg04ceq_flt.fits,F160W,4,227.0,2,5,2014-04-11,13:21:22,88.435623,-3.4792022705078125,-2.37713623046875
icdg04cfq_flt.fits,F160W,4,227.0,2,5,2014-04-11,13:23:09,88.435623,-3.4813232421875,-2.355987548828125
icdg04cgq_flt.fits,F160W,4,227.0,2,5,2014-04-11,13:24:56,88.435623,-3.484710693359375,-2.3726654052734375
icdg04chq_flt.fits,F125W,4,227.0,3,6,2014-04-11,13:27:25,88.435623,6.7545013427734375,-2.458343505859375
icdg04ciq_flt.fits,F125W,4,227.0,3,6,2014-04-11,13:29:12,88.435623,6.7454833984375,-2.4488372802734375
icdg04cjq_flt.fits,F125W,4,227.0,3,6,2014-04-11,13:30:59,88.435623,6.755287170410156,-2.4679107666015625
icdg04ckq_flt.fits,F160W,4,227.0,3,7,2014-04-11,13:32:52,88.435623,6.6767730712890625,-2.3732147216796875
