file name,orbit,exposure,filter,date-obs,time-obs,angle,dither
icdg10u4q_flt.fits,10,38,F160W,2013-10-16,20:43:58,129.0002,2
icdg10u5q_flt.fits,10,38,F160W,2013-10-16,20:44:31,129.0002,2
icdg10u6q_flt.fits,10,38,F160W,2013-10-16,20:45:04,129.0002,2
icdg10u7q_flt.fits,10,38,F160W,2013-10-16,20:45:37,129.0002,2
icdg10u8q_flt.fits,10,38,F160W,2013-10-16,20:46:10,129.0002,2
icdg10u9q_flt.fits,10,39,F125W,2013-10-16,20:46:49,129.0002,3
icdg10uaq_flt.fits,10,39,F125W,2013-10-16,20:47:37,129.0002,3
icdg10ubq_flt.fits,10,39,F125W,2013-10-16,20:48:25,129.0002,3
icdg10ucq_flt.fits,10,39,F125W,2013-10-16,20:49:13,129.0002,3
icdg10udq_flt.fits,10,40,F160W,2013-10-16,20:50:07,129.0002,4
icdg10ueq_flt.fits,10,40,F160W,2013-10-16,20:50:40,129.0002,4
icdg10ufq_flt.fits,10,40,F160W,2013-10-16,20:51:13,129.0002,4
icdg10ugq_flt.fits,10,40,F160W,2013-10-16,20:51:46,129.0002,4
icdg10uhq_flt.fits,10,40,F160W,2013-10-16,20:52:19,129.0002,4
icdg10uiq_flt.fits,10,41,F125W,2013-10-16,20:52:58,129.0002,5
icdg10ujq_flt.fits,10,41,F125W,2013-10-16,20:53:46,129.0002,5
icdg10ukq_flt.fits,10,41,F125W,2013-10-16,20:54:34,129.0002,5
icdg10ulq_flt.fits,10,41,F125W,2013-10-16,20:55:22,129.0002,5
icdg10umq_flt.fits,10,42,F160W,2013-10-16,20:56:16,129.0002,6
icdg10unq_flt.fits,10,42,F160W,2013-10-16,20:56:49,129.0002,6
icdg10uoq_flt.fits,10,42,F160W,2013-10-16,20:57:22,129.0002,6
icdg10upq_flt.fits,10,42,F160W,2013-10-16,20:57:55,129.0002,6
icdg10uqq_flt.fits,10,42,F160W,2013-10-16,20:58:28,129.0002,6
icdg10urq_flt.fits,10,43,F125W,2013-10-16,20:59:07,129.0002,7
icdg10usq_flt.fits,10,43,F125W,2013-10-16,20:59:55,129.0002,7
icdg10utq_flt.fits,10,43,F125W,2013-10-16,21:00:43,129.0002,7
icdg10uuq_flt.fits,10,43,F125W,2013-10-16,21:01:31,129.0002,7
icdg10uvq_flt.fits,10,44,F160W,2013-10-16,21:02:25,129.0002,8
icdg10uwq_flt.fits,10,44,F160W,2013-10-16,21:02:58,129.0002,8
icdg10uxq_flt.fits,10,44,F160W,2013-10-16,21:03:31,129.0002,8
icdg10uyq_flt.fits,10,44,F160W,2013-10-16,21:04:04,129.0002,8
icdg10uzq_flt.fits,10,44,F160W,2013-10-16,21:04:37,129.0002,8
icdg10v0q_flt.fits,10,45,F125W,2013-10-16,21:05:16,129.0002,9
icdg10v1q_flt.fits,10,45,F125W,2013-10-16,21:06:04,129.0002,9
icdg10v2q_flt.fits,10,45,F125W,2013-10-16,21:06:52,129.0002,9
icdg10v3q_flt.fits,10,45,F125W,2013-10-16,21:07:40,129.0002,9
icdg10v4q_flt.fits,10,46,F160W,2013-10-16,21:08:34,129.0002,10
icdg10v5q_flt.fits,10,46,F160W,2013-10-16,21:09:07,129.0002,10
icdg10v6q_flt.fits,10,46,F160W,2013-10-16,21:09:40,129.0002,10
icdg10v7q_flt.fits,10,46,F160W,2013-10-16,21:10:13,129.0002,10
icdg10v8q_flt.fits,10,46,F160W,2013-10-16,21:10:46,129.0002,10
icdg10v9q_flt.fits,10,47,F125W,2013-10-16,21:11:25,129.0002,11
icdg10vaq_flt.fits,10,47,F125W,2013-10-16,21:12:13,129.0002,11
icdg10vbq_flt.fits,10,47,F125W,2013-10-16,21:13:01,129.0002,11
icdg10vcq_flt.fits,10,47,F125W,2013-10-16,21:13:49,129.0002,11
icdg10vdq_flt.fits,10,48,F160W,2013-10-16,21:14:43,129.0002,12
