FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,FIELD10,FIELD11,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM
icdg10ugq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:51:46,14.970785000000001,15.97809600830078,8.322868347167969,15.978096008300781,8.322868347167969,129.09909057617188,222.27645874023438,2.0,0.9947850108146667,-0.07158937305212021,2.1319167613983154,8315.1376953125,30.272069931030273,1.3940626382827759,1.5370934009552002
icdg10uhq_myfits.fits,F160W,10,129.0,0,3,2013-10-16,20:52:19,14.970785000000001,15.958839416503904,8.32830810546875,15.958839416503906,8.32830810546875,129.10662841796875,222.2792510986328,2.0,0.9965999722480774,-0.03966814652085304,2.1340489387512207,8333.1533203125,30.303863525390625,1.3908801078796387,1.538833498954773
icdg10uiq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:52:58,29.663755,15.926910400390625,8.301719665527344,15.926910400390625,8.301719665527344,129.17514038085938,222.1072235107422,0.0,0.9900000095367432,-0.052385810762643814,1.5838100910186768,8162.74267578125,21.780717849731445,1.4538288116455078,1.4330377578735352
icdg10ujq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:53:46,29.663755,15.914390563964846,8.299842834472656,15.914390563964844,8.299842834472656,129.17343139648438,222.1068878173828,0.0,0.9914299845695496,-0.0751240998506546,1.624866008758545,8187.39404296875,22.038450241088867,1.44792640209198,1.43093740940094
icdg10ukq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:54:34,29.663755,15.891448974609375,8.276161193847656,15.891448974609375,8.276161193847656,129.17469787597656,222.10928344726562,0.0,0.9928600192070007,-0.0674135759472847,1.6467148065567017,8196.6455078125,22.173906326293945,1.449580430984497,1.4280657768249512
icdg10ulq_myfits.fits,F125W,10,129.0,0,4,2013-10-16,20:55:22,29.663755,15.87738037109375,8.274551391601562,15.87738037109375,8.274551391601562,129.17311096191406,222.11001586914062,0.0,0.9925299882888794,-0.06835898756980896,1.6188260316848755,8194.583984375,22.00862693786621,1.4476747512817383,1.4306929111480713
icdg10umq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:56:16,14.970785000000001,15.983802795410154,8.330253601074219,15.983802795410156,8.330253601074219,129.09603881835938,222.2806396484375,2.0,0.9926400184631348,-0.02930915541946888,2.1295762062072754,8319.27734375,30.2635555267334,1.385261058807373,1.5274131298065186
icdg10unq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:56:49,14.970785000000001,15.981582641601562,8.316978454589844,15.981582641601562,8.316978454589844,129.10140991210938,222.28114318847656,2.0,0.995169997215271,-0.03467068448662758,2.1144776344299316,8393.521484375,30.26140785217285,1.3933682441711426,1.544020652770996
icdg10uoq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:57:22,14.970785000000001,15.969131469726562,8.324722290039062,15.969131469726562,8.324722290039062,129.10311889648438,222.28341674804688,2.0,0.9930800199508667,-0.06537391245365143,2.166685104370117,8341.6162109375,30.49650764465332,1.3867331743240356,1.544381022453308
icdg10upq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:57:55,14.970785000000001,15.978713989257812,8.339302062988281,15.978713989257812,8.339302062988281,129.10379028320312,222.29051208496094,2.0,0.9909899830818176,-0.04432206600904465,2.083559036254883,8351.2724609375,30.04366683959961,1.3928098678588867,1.5540900230407715
icdg10uqq_myfits.fits,F160W,10,129.0,0,5,2013-10-16,20:58:28,14.970785000000001,15.986068725585938,8.325775146484375,15.986068725585938,8.325775146484375,129.10133361816406,222.28656005859375,2.0,0.9986900091171265,-0.055458784103393555,2.102205514907837,8368.7001953125,30.16595458984375,1.3990225791931152,1.560552716255188
icdg10urq_myfits.fits,F125W,10,129.0,0,6,2013-10-16,20:59:07,29.663755,15.921310424804688,8.293296813964844,15.921310424804688,8.293296813964844,129.1785125732422,222.1100616455078,0.0,0.9915400147438049,-0.0442967526614666,1.6169904470443726,8117.8037109375,21.938997268676758,1.4590169191360474,1.444004774093628
