file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time,XOFF,YOFF
icdg11wzq_myfits.fits,F125W,11,101.0,0,10,2013-10-16,22:49:26,29.663755,0.025054931640625,-0.1457672119140625
icdg11x0q_myfits.fits,F160W,11,101.0,0,11,2013-10-16,22:50:20,14.970785000000001,0.1342010498046875,0.0220794677734375
icdg11x1q_myfits.fits,F160W,11,101.0,0,11,2013-10-16,22:50:53,14.970785000000001,0.13177490234375,0.03729248046875
icdg11x2q_myfits.fits,F160W,11,101.0,0,11,2013-10-16,22:51:26,14.970785000000001,0.15468597412109375,0.0739593505859375
icdg11x3q_myfits.fits,F160W,11,101.0,0,11,2013-10-16,22:51:59,14.970785000000001,0.1487884521484375,0.0381317138671875
icdg11x4q_myfits.fits,F160W,11,101.0,0,11,2013-10-16,22:52:32,14.970785000000001,0.12056732177734375,0.06911468505859375
icdg11x5q_myfits.fits,F125W,11,101.0,0,12,2013-10-16,22:53:11,29.663755,0.104736328125,0.014251708984375
icdg11x6q_myfits.fits,F125W,11,101.0,0,12,2013-10-16,22:53:59,29.663755,0.1180267333984375,0.00383758544921875
icdg11x7q_myfits.fits,F125W,11,101.0,0,12,2013-10-16,22:54:47,29.663755,0.09421539306640624,0.01955413818359375
icdg11x8q_myfits.fits,F125W,11,101.0,0,12,2013-10-16,22:55:35,29.663755,0.09474945068359376,0.0360107421875
icdg12xaq_myfits.fits,F125W,12,129.0,0,0,2013-10-16,23:51:55,29.663755,15.92108917236328,8.2747802734375
icdg12xbq_myfits.fits,F125W,12,129.0,0,0,2013-10-16,23:52:43,29.663755,15.94586944580078,8.297576904296875
icdg12xcq_myfits.fits,F125W,12,129.0,0,0,2013-10-16,23:53:31,29.663755,15.9461669921875,8.299995422363281
icdg12xdq_myfits.fits,F125W,12,129.0,0,0,2013-10-16,23:54:19,29.663755,15.911544799804688,8.279815673828125
icdg12xeq_myfits.fits,F160W,12,129.0,0,1,2013-10-16,23:55:13,14.970785000000001,15.996299743652346,8.306396484375
icdg12xfq_myfits.fits,F160W,12,129.0,0,1,2013-10-16,23:55:46,14.970785000000001,15.980194091796875,8.305030822753906
icdg12xgq_myfits.fits,F160W,12,129.0,0,1,2013-10-16,23:56:19,14.970785000000001,15.997047424316404,8.313079833984375
icdg12xhq_myfits.fits,F160W,12,129.0,0,1,2013-10-16,23:56:52,14.970785000000001,15.996307373046875,8.307601928710938
icdg12xiq_myfits.fits,F160W,12,129.0,0,1,2013-10-16,23:57:25,14.970785000000001,15.99553680419922,8.306472778320312
icdg12xjq_myfits.fits,F125W,12,129.0,0,2,2013-10-16,23:58:04,29.663755,15.941635131835938,8.297248840332031
icdg12xkq_myfits.fits,F125W,12,129.0,0,2,2013-10-16,23:58:52,29.663755,15.902923583984375,8.284629821777344
icdg12xlq_myfits.fits,F125W,12,129.0,0,2,2013-10-16,23:59:40,29.663755,15.949996948242188,8.30511474609375
icdg12xmq_myfits.fits,F125W,12,129.0,0,2,2013-10-17,00:00:28,29.663755,15.94342041015625,8.302360534667969
icdg12xnq_myfits.fits,F160W,12,129.0,0,3,2013-10-17,00:01:22,14.970785000000001,15.991172790527346,8.297859191894531
icdg12xoq_myfits.fits,F160W,12,129.0,0,3,2013-10-17,00:01:55,14.970785000000001,15.986457824707033,8.313552856445312
