FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,CONTAMINATED
icdg10ufq_noramp.fits,F160W,10,129.0,0,3,2013-10-16,20:51:13,14.970785,16.00982666015625,8.277687072753906,129.0974884033203,222.28070068359375,43.0,1.015923261642456,0.008349128998816013,2.5430285930633545,7935.28564453125,34.31062698364258,1.388696551322937,1.5298701524734497,0.0
icdg10ugq_noramp.fits,F160W,10,129.0,0,3,2013-10-16,20:51:46,14.970785,16.017677307128906,8.300392150878906,129.0989532470703,222.27700805664062,43.0,1.0129637718200684,0.021529363468289375,2.5597712993621826,7914.55078125,34.305484771728516,1.3958204984664917,1.538864254951477,0.0
icdg10uhq_noramp.fits,F160W,10,129.0,0,3,2013-10-16,20:52:19,14.970785,15.997360229492188,8.306129455566406,129.10482788085938,222.2802276611328,43.0,1.015407919883728,0.03160824999213219,2.5597217082977295,7947.7197265625,34.36125946044922,1.3938113451004028,1.5385292768478394,0.0
icdg10uiq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:52:58,29.663755,15.966705322265625,8.284370422363281,129.17108154296875,222.10943603515625,134.0,1.002453088760376,-0.0022424941416829824,1.6999534368515015,7736.43017578125,25.72286033630371,1.4473755359649658,1.432310938835144,0.0
icdg10ujq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:53:46,29.663755,15.95355224609375,8.282516479492188,129.1702423095703,222.10743713378906,134.0,1.0021759271621704,-0.010152888484299183,1.668716549873352,7723.5830078125,25.25772476196289,1.4395031929016113,1.4255019426345825,0.0
icdg10ukq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:54:34,29.663755,15.930793762207031,8.257659912109375,129.1725311279297,222.10862731933594,19.0,1.0143779516220093,-0.052324529737234116,1.7288907766342163,7740.67138671875,24.926937103271484,1.4431086778640747,1.4257692098617554,0.0
icdg10ulq_noramp.fits,F125W,10,129.0,0,4,2013-10-16,20:55:22,29.663755,15.915885925292969,8.256111145019531,129.1714324951172,222.1088409423828,20.0,1.0121586322784424,-0.006915856618434191,1.69869065284729,7745.89892578125,24.595643997192383,1.4410637617111206,1.4253023862838745,0.0
icdg10umq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:56:16,14.970785,16.0230712890625,8.308067321777344,129.09683227539062,222.28005981445312,140.0,1.005621314048767,-0.012457258068025112,2.614276647567749,7934.8427734375,36.350914001464844,1.3831956386566162,1.528935194015503,0.0
icdg10unq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:56:49,14.970785,16.021240234375,8.294441223144531,129.10140991210938,222.2804412841797,43.0,1.0127602815628052,0.04390469565987587,2.5777366161346436,7988.36865234375,34.41345977783203,1.396569848060608,1.5468480587005615,0.0
icdg10uoq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:57:22,14.970785,16.008468627929688,8.302375793457031,129.1025390625,222.28298950195312,43.0,1.0172325372695923,-0.02585981972515583,2.623485803604126,7918.76025390625,34.49122619628906,1.389453649520874,1.5464305877685547,0.0
icdg10upq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:57:55,14.970785,16.018402099609375,8.317268371582031,129.1051788330078,222.28909301757812,139.0,1.0075429677963257,-0.07317928224802017,2.5424466133117676,7926.7021484375,36.29722595214844,1.3946622610092163,1.5567009449005127,0.0
icdg10uqq_noramp.fits,F160W,10,129.0,0,5,2013-10-16,20:58:28,14.970785,16.026039123535156,8.303413391113281,129.10073852539062,222.28732299804688,43.0,1.0100995302200317,0.08948793262243271,2.6079463958740234,7953.396484375,34.421287536621094,1.4017057418823242,1.5628817081451416,0.0
icdg10urq_noramp.fits,F125W,10,129.0,0,6,2013-10-16,20:59:07,29.663755,15.960929870605469,8.275741577148438,129.17909240722656,222.10867309570312,134.0,1.004827618598938,-0.014735526405274868,1.6877907514572144,7703.4228515625,25.174489974975586,1.4520071744918823,1.4367223978042603,0.0
icdg10usq_noramp.fits,F125W,10,129.0,0,6,2013-10-16,20:59:55,29.663755,15.944938659667969,8.290107727050781,129.19024658203125,222.09713745117188,134.0,1.0065563917160034,-0.039532121270895004,1.7106600999832153,7725.78076171875,25.847396850585938,1.4621742963790894,1.4296101331710815,0.0
icdg10utq_noramp.fits,F125W,10,129.0,0,6,2013-10-16,21:00:43,29.663755,15.924018859863281,8.322319030761719,129.14691162109375,222.15415954589844,27.0,1.0223063230514526,-0.17428003251552582,1.5328463315963745,7688.58740234375,24.95498275756836,1.4216519594192505,1.4532006978988647,0.0
icdg10uuq_noramp.fits,F125W,10,129.0,0,6,2013-10-16,21:01:31,29.663755,15.956504821777344,8.294387817382812,129.19342041015625,222.10952758789062,134.0,1.005147933959961,-0.035357169806957245,1.7117539644241333,7728.65380859375,25.934865951538086,1.4589192867279053,1.4367254972457886,0.0
icdg10uvq_noramp.fits,F160W,10,129.0,0,7,2013-10-16,21:02:25,14.970785,16.019798278808594,8.307846069335938,129.10162353515625,222.31320190429688,140.0,1.0043046474456787,-0.020859595388174057,2.556666851043701,7967.41455078125,36.2584114074707,1.393455982208252,1.5825523138046265,0.0
icdg10uwq_noramp.fits,F160W,10,129.0,0,7,2013-10-16,21:02:58,14.970785,16.030189514160156,8.308479309082031,129.111083984375,222.29962158203125,138.0,1.006395936012268,-0.01670153997838497,2.6160380840301514,7984.85986328125,36.43440628051758,1.3968279361724854,1.5624700784683228,0.0
icdg10uxq_noramp.fits,F160W,10,129.0,0,7,2013-10-16,21:03:31,14.970785,16.03394317626953,8.333427429199219,129.10653686523438,222.30752563476562,31.0,1.0260992050170898,-0.18418386578559875,2.3976261615753174,7927.11962890625,34.118587493896484,1.4002747535705566,1.580047845840454,0.0
icdg10uyq_noramp.fits,F160W,10,129.0,0,7,2013-10-16,21:04:04,14.970785,16.019561767578125,8.331161499023438,129.1056365966797,222.31141662597656,142.0,1.004856824874878,-0.06766953319311142,2.5058257579803467,7912.91162109375,36.192508697509766,1.401816964149475,1.5769176483154297,0.0
icdg10uzq_noramp.fits,F160W,10,129.0,0,7,2013-10-16,21:04:37,14.970785,16.02692413330078,8.330291748046875,129.11019897460938,222.30496215820312,142.0,1.0065022706985474,-0.09782754629850388,2.5611190795898438,7969.76318359375,36.398048400878906,1.4019391536712646,1.5734866857528687,0.0
icdg10v0q_noramp.fits,F125W,10,129.0,0,8,2013-10-16,21:05:16,29.663755,15.94207763671875,8.298194885253906,129.1832275390625,222.13633728027344,27.0,1.021557092666626,-0.10868553817272186,1.5410581827163696,7670.19873046875,24.648019790649414,1.4573792219161987,1.4526416063308716,0.0
icdg10v1q_noramp.fits,F125W,10,129.0,0,8,2013-10-16,21:06:04,29.663755,15.952461242675781,8.289596557617188,129.1837615966797,222.1331024169922,134.0,1.0056830644607544,-0.035486940294504166,1.7165921926498413,7696.85400390625,25.39766502380371,1.452218770980835,1.4445276260375977,0.0
icdg10v2q_noramp.fits,F125W,10,129.0,0,8,2013-10-16,21:06:52,29.663755,15.9659423828125,8.304252624511719,129.18359375,222.13760375976562,27.0,1.0212401151657104,-0.13457907736301422,1.5207637548446655,7694.3291015625,23.126068115234375,1.4456349611282349,1.4390186071395874,0.0
icdg10v3q_noramp.fits,F125W,10,129.0,0,8,2013-10-16,21:07:40,29.663755,15.9892578125,8.315910339355469,129.18324279785156,222.13241577148438,27.0,1.0205456018447876,-0.05569223314523697,1.537116527557373,7719.46923828125,24.567155838012695,1.4620317220687866,1.4499011039733887,0.0
icdg10v4q_noramp.fits,F160W,10,129.0,0,9,2013-10-16,21:08:34,14.970785,16.036102294921875,8.339675903320312,129.1090545654297,222.31716918945312,31.0,1.0223690271377563,-0.158478245139122,2.349139928817749,7871.25927734375,33.94729232788086,1.3944242000579834,1.591233491897583,0.0
