file name,filter,orbit,Pos Angle,dither,exposure set,obs date,obs time,exposure time
icdg09tdq_flt.fits,F125W,9,101.000504,0,8,2013-10-16,19:32:04,29.663755
icdg09teq_flt.fits,F125W,9,101.000504,0,8,2013-10-16,19:32:52,29.663755
icdg09tfq_flt.fits,F125W,9,101.000504,0,8,2013-10-16,19:33:40,29.663755
icdg09tgq_flt.fits,F125W,9,101.000504,0,8,2013-10-16,19:34:28,29.663755
icdg09thq_flt.fits,F160W,9,101.000504,0,9,2013-10-16,19:35:22,14.970785
icdg09tiq_flt.fits,F160W,9,101.000504,0,9,2013-10-16,19:35:55,14.970785
icdg09tjq_flt.fits,F160W,9,101.000504,0,9,2013-10-16,19:36:28,14.970785
icdg09tkq_flt.fits,F160W,9,101.000504,0,9,2013-10-16,19:37:01,14.970785
icdg09tlq_flt.fits,F160W,9,101.000504,0,9,2013-10-16,19:37:34,14.970785
icdg09tmq_flt.fits,F125W,9,101.000999,1,10,2013-10-16,19:38:49,29.663755
icdg09tnq_flt.fits,F125W,9,101.000999,1,10,2013-10-16,19:39:37,29.663755
icdg09toq_flt.fits,F125W,9,101.000999,1,10,2013-10-16,19:40:25,29.663755
icdg09tpq_flt.fits,F125W,9,101.000999,1,10,2013-10-16,19:41:13,29.663755
icdg09tqq_flt.fits,F160W,9,101.000999,1,11,2013-10-16,19:42:07,14.970785
icdg09trq_flt.fits,F160W,9,101.000999,1,11,2013-10-16,19:42:40,14.970785
icdg09tsq_flt.fits,F160W,9,101.000999,1,11,2013-10-16,19:43:13,14.970785
icdg09ttq_flt.fits,F160W,9,101.000999,1,11,2013-10-16,19:43:46,14.970785
icdg09tuq_flt.fits,F160W,9,101.000999,1,11,2013-10-16,19:44:19,14.970785
icdg09tvq_flt.fits,F125W,9,101.000999,1,12,2013-10-16,19:44:58,29.663755
icdg09twq_flt.fits,F125W,9,101.000999,1,12,2013-10-16,19:45:46,29.663755
icdg09txq_flt.fits,F125W,9,101.000999,1,12,2013-10-16,19:46:34,29.663755
icdg09tyq_flt.fits,F125W,9,101.000999,1,12,2013-10-16,19:47:22,29.663755
icdg10u0q_flt.fits,F125W,10,129.000198,0,0,2013-10-16,20:40:40,29.663755
icdg10u1q_flt.fits,F125W,10,129.000198,0,0,2013-10-16,20:41:28,29.663755
icdg10u2q_flt.fits,F125W,10,129.000198,0,0,2013-10-16,20:42:16,29.663755
icdg10u3q_flt.fits,F125W,10,129.000198,0,0,2013-10-16,20:43:04,29.663755
icdg10u4q_flt.fits,F160W,10,129.000198,0,1,2013-10-16,20:43:58,14.970785
icdg10u5q_flt.fits,F160W,10,129.000198,0,1,2013-10-16,20:44:31,14.970785
icdg10u6q_flt.fits,F160W,10,129.000198,0,1,2013-10-16,20:45:04,14.970785
icdg10u7q_flt.fits,F160W,10,129.000198,0,1,2013-10-16,20:45:37,14.970785
icdg10u8q_flt.fits,F160W,10,129.000198,0,1,2013-10-16,20:46:10,14.970785
icdg10u9q_flt.fits,F125W,10,129.000198,0,2,2013-10-16,20:46:49,29.663755
icdg10uaq_flt.fits,F125W,10,129.000198,0,2,2013-10-16,20:47:37,29.663755
icdg10ubq_flt.fits,F125W,10,129.000198,0,2,2013-10-16,20:48:25,29.663755
icdg10ucq_flt.fits,F125W,10,129.000198,0,2,2013-10-16,20:49:13,29.663755
icdg10udq_flt.fits,F160W,10,129.000198,0,3,2013-10-16,20:50:07,14.970785
icdg10ueq_flt.fits,F160W,10,129.000198,0,3,2013-10-16,20:50:40,14.970785
icdg10ufq_flt.fits,F160W,10,129.000198,0,3,2013-10-16,20:51:13,14.970785
icdg10ugq_flt.fits,F160W,10,129.000198,0,3,2013-10-16,20:51:46,14.970785
icdg10uhq_flt.fits,F160W,10,129.000198,0,3,2013-10-16,20:52:19,14.970785
icdg10uiq_flt.fits,F125W,10,129.000198,0,4,2013-10-16,20:52:58,29.663755
icdg10ujq_flt.fits,F125W,10,129.000198,0,4,2013-10-16,20:53:46,29.663755
icdg10ukq_flt.fits,F125W,10,129.000198,0,4,2013-10-16,20:54:34,29.663755
icdg10ulq_flt.fits,F125W,10,129.000198,0,4,2013-10-16,20:55:22,29.663755
icdg10umq_flt.fits,F160W,10,129.000198,0,5,2013-10-16,20:56:16,14.970785
icdg10unq_flt.fits,F160W,10,129.000198,0,5,2013-10-16,20:56:49,14.970785
icdg10uoq_flt.fits,F160W,10,129.000198,0,5,2013-10-16,20:57:22,14.970785
icdg10upq_flt.fits,F160W,10,129.000198,0,5,2013-10-16,20:57:55,14.970785
icdg10uqq_flt.fits,F160W,10,129.000198,0,5,2013-10-16,20:58:28,14.970785
icdg10urq_flt.fits,F125W,10,129.000198,0,6,2013-10-16,20:59:07,29.663755
icdg10usq_flt.fits,F125W,10,129.000198,0,6,2013-10-16,20:59:55,29.663755
icdg10utq_flt.fits,F125W,10,129.000198,0,6,2013-10-16,21:00:43,29.663755
icdg10uuq_flt.fits,F125W,10,129.000198,0,6,2013-10-16,21:01:31,29.663755
icdg10uvq_flt.fits,F160W,10,129.000198,0,7,2013-10-16,21:02:25,14.970785
icdg10uwq_flt.fits,F160W,10,129.000198,0,7,2013-10-16,21:02:58,14.970785
icdg10uxq_flt.fits,F160W,10,129.000198,0,7,2013-10-16,21:03:31,14.970785
icdg10uyq_flt.fits,F160W,10,129.000198,0,7,2013-10-16,21:04:04,14.970785
icdg10uzq_flt.fits,F160W,10,129.000198,0,7,2013-10-16,21:04:37,14.970785
icdg10v0q_flt.fits,F125W,10,129.000198,0,8,2013-10-16,21:05:16,29.663755
icdg10v1q_flt.fits,F125W,10,129.000198,0,8,2013-10-16,21:06:04,29.663755
