FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,OBS_DATE,OBS_TIME,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX_FIT,X_FIT,Y_FIT,SKYY_FIT
icdg07qkq_noramp.fits,F160W,7,101.0,3,11,2013-10-16,16:33:03,14.970785,10.230255126953125,11.240386962890625,104.8448257446289,219.55035400390625,73.0,1.0104058980941772,-0.2170121669769287,2.4996564388275146,8608.302734375,12.724642753601074,13.495132446289062,1.3192559480667114
icdg07qlq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:33:42,29.663755,10.163803100585938,11.249588012695312,104.9243392944336,219.31211853027344,70.0,1.014400839805603,-0.15325012803077698,1.7024224996566772,8832.671875,12.832697868347168,13.364837646484375,0.2063307911157608
icdg07qmq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:34:30,29.663755,10.162994384765625,11.253852844238281,104.92536163330078,219.3122100830078,70.0,1.014580249786377,-0.14831124246120453,1.7154536247253418,8788.08203125,12.829752922058105,13.362903594970703,0.06581538915634155
icdg07qnq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:35:18,29.663755,10.214286804199219,11.273811340332031,104.92582702636719,219.31690979003906,69.0,1.0189284086227417,-0.1415548026561737,1.7230560779571533,8805.0546875,12.827383995056152,13.36746883392334,0.17437587678432465
icdg07qoq_noramp.fits,F125W,7,101.0,3,12,2013-10-16,16:36:06,29.663755,10.197059631347656,11.269020080566406,104.92430877685547,219.30831909179688,70.0,1.019652009010315,-0.1371135115623474,1.7424153089523315,8852.109375,12.823834419250488,13.356416702270508,-0.021770521998405457
icdg08qqq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:29:24,29.663755,15.944572448730469,8.271263122558594,129.1839141845703,222.1158447265625,232.0,1.007132887840271,-0.29397648572921753,1.7511845827102661,8815.6064453125,13.15334701538086,13.110359191894531,-0.2918737828731537
icdg08qrq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:30:12,29.663755,15.937591552734375,8.272857666015625,129.1811065673828,222.11685180664062,1.0,1.017800211906433,-0.1962624490261078,1.7196135520935059,8900.0859375,13.170454025268555,13.114255905151367,0.5140339136123657
icdg08qsq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:31:00,29.663755,15.941093444824219,8.26702880859375,129.1790771484375,222.11721801757812,232.0,1.0105657577514648,-0.2756653428077698,1.7838033437728882,9004.5703125,13.152626037597656,13.112371444702148,-0.35394930839538574
icdg08qtq_noramp.fits,F125W,8,129.0,0,0,2013-10-16,17:31:48,29.663755,15.934127807617188,8.271858215332031,129.1672821044922,222.11424255371094,1.0,1.0198088884353638,-0.2288806438446045,1.7455748319625854,8964.091796875,13.147254943847656,13.108830451965332,0.02609800547361374
icdg08quq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:32:42,14.970785,16.014236450195312,8.303207397460938,129.1052703857422,222.2878875732422,123.0,1.0050922632217407,-0.0918155238032341,2.432203531265259,8598.46484375,13.092082023620605,13.31578254699707,1.0347908735275269
icdg08qvq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:33:15,14.970785,16.01074981689453,8.294303894042969,129.10025024414062,222.29275512695312,7.0,1.020611047744751,-0.060927584767341614,2.4397499561309814,8522.83984375,13.080879211425781,13.312976837158203,1.779232382774353
icdg08qwq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:33:48,14.970785,16.020584106445312,8.289115905761719,129.1009521484375,222.29183959960938,123.0,1.004247784614563,-0.1602565199136734,2.4272422790527344,8563.177734375,13.085474967956543,13.315518379211426,1.4268954992294312
icdg08qxq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:34:21,14.970785,15.998886108398438,8.289657592773438,129.09336853027344,222.29690551757812,7.0,1.0201643705368042,-0.08210989087820053,2.4234108924865723,8622.125,13.071213722229004,13.31335735321045,1.4429885149002075
icdg08qyq_noramp.fits,F160W,8,129.0,0,1,2013-10-16,17:34:54,14.970785,16.037979125976562,8.328544616699219,129.09617614746094,222.28785705566406,121.0,1.0113976001739502,-0.13358499109745026,2.4956870079040527,8532.50390625,13.075955390930176,13.308575630187988,1.036198377609253
icdg08qzq_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:36:09,29.663755,26.020050048828125,8.278327941894531,139.32350158691406,222.09707641601562,152.0,1.006955623626709,-0.26569950580596924,1.8413010835647583,8844.517578125,13.264215469360352,13.099398612976074,-0.3322153091430664
icdg08r0q_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:36:57,29.663755,26.034225463867188,8.284271240234375,139.32107543945312,222.09555053710938,152.0,1.0080456733703613,-0.26398828625679016,1.8579959869384766,8848.3779296875,13.260329246520996,13.09877872467041,-0.4583010673522949
icdg08r1q_noramp.fits,F125W,8,129.0,1,2,2013-10-16,17:37:45,29.663755,26.074020385742188,8.256446838378906,139.32257080078125,222.09359741210938,152.0,1.0027575492858887,-0.21440036594867706,1.8227732181549072,8890.033203125,13.262035369873047,13.09725570678711,-0.3489058315753937
