Object,    Opt SpT,    NIR SpT, SpT Refs,  flag,RA (deg),Dec (deg),Epoch (JD),plx,eplx, PlxRef,Ymag,eYmag ,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,J2mag,eJ2mag,H2mag, eH2mag, K2mag,eK2mag, MKO+2MA,SS Refs,      sysID bin," compsep("")  HS",  HST/AO,HST AO Refs,
SDSS_J143535.72-$004347.0,   L3,   L2.5,105135,    null,218.89887,-0.72975,2451285.71,16.07,5.76,255,                 NaN,   NaN 9,16.41, 0.030 0,15.68, 0.030 0,15.12,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.488,  0.116 0,15.664, 0.116 0,15.025, 0.137 0,57135,283,1,     NaN,  W,"   14,93",
LHS_377,   sdM7,   null,88,    subd,219.75129,18.66071,2451614.88,28.4,0.8,193,13.668, 0.058 1,13.27, 0.030 0,12.77, 0.030 0,12.48,  0.030 0,11.93, 0.100 0,     NaN,   NaN 9,13.194,  0.029 0,12.733, 0.030 0,12.479, 0.025 0,"  57,68,143",193,1,     NaN,  W,87,
2MASSW_J1439284+192915,   L1,   null,128,    null,219.8682,19.48749,2450609.76,69.6,0.5,58,13.671, 0.053 1,12.66, 0.030 0,12.05, 0.030 0,11.47,  0.030 0,10.8, 0.050 0,11.13, 0.080 0,12.759,  0.019 0,12.041, 0.019 0,11.546, 0.022 0,"  57,68,97,146",133,1,     NaN,  WN,"   14,209,",218
DENIS-P_J144137.3-$094559A,   null,   null,  null,    null,220.40486,-9.76639,2451251.9,36.39,3.57,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,601,2,44,  WT,"   14,17,1",88
DENIS-P_J144137.3-$094559B,   null,   null,  null,    null,220.40486,-9.76639,2451251.9,36.39,3.57,49,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,601,2,44,  WT,"   14,17,1",88
G_239-25B,   null,   L0:,75,    null,220.59021,66.05579,2451298.82,93.17,1.3,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,  null,254,1,2.9,  N,98,
SSSPM_J1444-$2019,   d/sdM9,   null,27228,    subd,221.08614,-20.32285,2450941.64,61.67,2.12,224,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,12.546,  0.026 0,12.142, 0.026 0,11.933, 0.026 0,57,203,1,     NaN,  null,   null,
HIP_72099B,   null,   M6.0,116,"    young,Sc",o-Cen       221.23698,-34.3816,2451013.48,6.34,1.63,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,12.89, 0.020 0,12.57, 0.030 0,116,362,1,0.667,  G,116,
SDSSp_J144600.60+002452.0,   L6,   L5,83105,    null,221.50257,0.41443,2451641.74,45.46,3.25,255,                 NaN,   NaN 9,15.56, 0.050 0,14.59, 0.050 0,13.8,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,15.894,  0.082 0,14.514, 0.035 0,13.935, 0.053 0,57146,284,1,     NaN,  null,   null,
HD_130948B,   null,   L4:,100,    young?,222.56589,23.9118,2451305.73,55.03,0.34,253,                 NaN,   NaN 9,13.812, 0.085 0,13.04, 0.149 0,12.346,  0.043 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  65,66",645,2,2.64,  GAK,"   65,137,",204
HD_130948C,   null,   L4:,100,    young?,222.56589,23.9118,2451305.73,55.03,0.34,253,                 NaN,   NaN 9,14.117, 0.085 0,13.33, 0.149 0,12.543,  0.043 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  65,66",645,2,2.64,  GAK,"   65,137,",204
Gl_569Ba,   null,   M8.5,106139,    null,223.62181,16.10111,2451336.67,103.59,1.72,253,                 NaN,   NaN 9,11.277, 0.061 0,10.666, 0.041 0,10.162,  0.030 0,9.464, 0.101 0,     NaN,   NaN 9,11.334,  0.061 1,10.628, 0.042 1,10.19, 0.031 1,"  67,68,74,139",646,2,5,  KsT,"   67,122,",137139187238262
Gl_569Bb,   null,   M9.0,106139,    null,223.62181,16.10111,2451336.67,103.59,1.72,253,                 NaN,   NaN 9,11.788, 0.061 0,11.206, 0.042 0,10.635,  0.031 0,9.954, 0.102 0,     NaN,   NaN 9,11.845,  0.063 1,11.168, 0.044 1,10.66, 0.032 1,"  67,68,74,139",646,2,5,  KsT,"   67,122,",137139187238262
LHS_3003,   M7,   M7,83126,    null,224.15964,-28.16316,2450991.45,159.2,5.1,247,                 NaN,   NaN 9,9.94, 0.050 0,9.43, 0.050 0,8.93,  0.050 0,8.43, 0.030 0,     NaN,   NaN 9,9.965,  0.026 0,9.315, 0.022 0,8.928, 0.027 0,57146143,232,1,     NaN,  N,101,
Gl_570D,   T7,   T7.5,"  22,25",    null,224.31234,-21.36326,2450949.75,171.22,0.94,253,16.015, 0.069 1,14.82, 0.050 0,15.28, 0.050 0,15.52,  0.050 0,12.98, 0.050 0,     NaN,   NaN 9,15.324,  0.048 0,15.268, 0.089 0,15.242, 0.156 0,"  57,68,82",255,1,258.3,  W,23,
CFBDS_J145829+10134A,   null,   T9,168169,    null,224.62247,10.22839,2455284.06,31.3,2.5,68,                 NaN,   NaN 9,19.817, 0.022 0,20.243, 0.131 0,20.573,  0.372 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  62,141,168,16",9         624,2,     NaN,  K,168,
CFBDS_J145829+10134B,   null,   null,168169,    null,224.62247,10.22839,2455284.06,31.3,2.5,68,                 NaN,   NaN 9,21.837, 0.064 0,22.552, 0.158 0,22.732,  0.422 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,"  62,141,168,16",9         624,2,     NaN,  K,168,
TVLM_513-46546,   M8.5,   M8.5,83126,    null,225.28411,22.8339,2451613.9,94.4,0.6,58,                 NaN,   NaN 9,11.76, 0.050 0,11.18, 0.050 0,10.69,  0.050 0,10.04, 0.080 0,     NaN,   NaN 9,11.866,  0.022 0,11.181, 0.030 0,10.706, 0.024 0,57146143,134,1,     NaN,  G,47,
TVLM_513-42404,   null,   null,  null,    null,225.58877,25.43189,2451320.76,35,10,246,                 NaN,   NaN 9,14.31, 0.050 0,13.75, 0.030 0,13.47,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,14.413,  0.033 0,13.76, 0.037 0,13.494, 0.044 0,57143,222,1,     NaN,  null,   null,
TVLM_513-42404B,   null,   null,  null,    null,225.58883,25.43442,2451320.76,35,10,246,                 NaN,   NaN 9,15.35, 0.050 0,14.67, 0.050 0,14.25,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,15.419,  0.057 0,14.635, 0.058 0,14.154, 0.069 0,57143,222,1,9.01,  null,   null,
2MASSW_J1503196+252519,   T6,   T5,"  22,25",    null,225.83214,25.42366,2454575.97,157.2,2.2,68,14.76, 0.055 1,13.55, 0.030 0,13.9, 0.030 0,13.99,  0.030 0,11.91, 0.050 0,11.92, 0.040 0,13.937,  0.024 0,13.856, 0.031 0,13.963, 0.059 0,"  57,68,97,135,",148       148,1,     NaN,  N,26,
SDSS_J150411.63+102718.3,   null,   T7,44,    over-L,226.04931,10.45459,2455050.74,46.1,1.5,68,                 NaN,   NaN 9,16.49, 0.030 0,16.92, 0.030 0,17.02,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,44,149,1,     NaN,  K,68,
ULAS_J150457.65+053800.8,   null,   T6p:,196,    null,226.24023,5.63356,2454574.05,53.8,2.8,253,17.65, 0.020 0,16.59, 0.020 0,17.05, 0.040 0,17.41,  0.090 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,230,256,1,68,  K,68,
WISEP_J150649.97+702736.0,   null,   T6,132,    null,226.70825,70.46004,2455328.45,310,42,185,                 NaN,   NaN 9,13.56, 0.050 0,13.91, 0.040 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.328,  0.095 0,14.15, 0.203 0,14.048, 0.136 0,132,382,1,     NaN,  null,   null,
2MASSW_J1507476-$162738,   L5,   L5.5,129135,    null,226.94872,-16.46073,2450936.72,136.4,0.6,58,13.908, 0.057 1,12.7, 0.030 0,11.9, 0.030 0,11.29,  0.030 0,9.98, 0.030 0,10.69, 0.060 0,12.83,  0.027 0,11.895, 0.024 0,11.312, 0.026 0,"  57,68,97,146",135,1,     NaN,  WN,"   14,209,",216
TVLM_868-110639,   M9,   null,50126,    null,227.57024,-2.68551,2451257.77,61.2,4.7,246,                 NaN,   NaN 9,12.53, 0.030 0,11.79, 0.030 0,11.34,  0.030 0,10.68, 0.120 0,     NaN,   NaN 9,12.614,  0.023 0,11.842, 0.022 0,11.347, 0.021 0,57143,223,1,     NaN,  null,   null,
SDSS_J151114.66+060742.9,   null,   T0::,44,    null,227.81109,6.12866,2451643.81,36.7,6.4,71,17.009, 0.058 1,15.83, 0.030 0,15.16, 0.030 0,14.52,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.016,  0.079 0,14.955, 0.075 0,14.544, 0.100 0,"  44,57,68",340,1,     NaN,  null,   null,
TVLM_513-8328,   null,   null,  null,    null,228.58558,23.68476,2450613.79,24.1,4.5,246,                 NaN,   NaN 9,14, 0.030 0,13.31, 0.030 0,12.93,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,14.087,  0.028 0,13.422, 0.025 0,12.961, 0.032 0,57143,224,1,     NaN,  null,   null,
SDSS_J152103.24+013142.7,   null,   T2:,25,    null,230.26363,1.52852,2451658.76,41.3,7.2,71,17.132, 0.058 1,16.06, 0.030 0,15.63, 0.030 0,15.48,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.399,  0.102 0,15.576, 0.099 0,15.347, 0.171 0,"  57,68,135",341,1,     NaN,  null,   null,
Gl_584C,   L8,   L8,83129,    null,230.84431,30.24895,2451597.92,55.98,0.78,253,17.029, 0.071 1,15.95, 0.050 0,15.05, 0.050 0,14.35,  0.050 0,12.86, 0.050 0,     NaN,   NaN 9,16.056,  0.099 0,14.928, 0.081 0,14.348, 0.067 0,"  57,68,146",257,1,194,  K,68,
2MASSW_J1526140+204341,   L7,   null,129,    null,231.55854,20.72818,2450614.72,48.5,8.7,71,16.603, 0.074 1,15.494, 0.055 1,14.552, 0.044 1,13.905,  0.052 1,    NaN,   NaN 9,     NaN,   NaN 9,15.586,  0.055 0,14.497, 0.044 0,13.922, 0.052 0,"  57,68",342,1,     NaN,  null,   null,
SDSS_J153417.05+161546.1A,   null,   T0:,68,    null,233.57107,16.26299,2454516.15,24.9,1.1,68,                 NaN,   NaN 9,17.461, 0.037 0,16.828, 0.033 0,16.368,  0.035 0,    NaN,   NaN 9,     NaN,   NaN 9,17.542,  0.135 1,16.537, 0.159 1,16.361, 0.035 1,"  44,57,68,163",625,2,     NaN,  K,163,
SDSS_J153417.05+161546.1B,   null,   T5.5,68,    null,233.57107,16.26299,2454516.15,24.9,1.1,68,                 NaN,   NaN 9,17.291, 0.035 0,17.528, 0.040 0,17.578,  0.061 0,    NaN,   NaN 9,     NaN,   NaN 9,17.472,  0.135 1,17.237, 0.161 1,17.45, 0.059 1,"  44,57,68,163",625,2,     NaN,  K,163,
2MASSI_J1534498-$295227A,   null,   T4.5,68,    null,233.70825,-29.8747,2454516.16,62.4,1.3,68,                 NaN,   NaN 9,15.274, 0.031 0,15.359, 0.030 0,15.529,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,15.571,  0.055 1,15.483, 0.102 1,15.469, 0.114 0,"  57,68,97,135,",165       626,2,     NaN,  WAK,"   23,137,",165
2MASSI_J1534498-$295227B,   null,   T5,68,    null,233.70825,-29.8747,2454516.16,62.4,1.3,68,                 NaN,   NaN 9,15.437, 0.031 0,15.645, 0.031 0,15.816,  0.031 0,    NaN,   NaN 9,     NaN,   NaN 9,15.741,  0.055 1,15.773, 0.103 1,15.738, 0.114 0,"  57,68,97,135,",165       626,2,     NaN,  WAK,"   23,137,",165
DENIS-P_J153941.9-$052042,   L4:,   L2,120131,    null,234.92458,-5.34523,2451256.83,64.5,3.4,5,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.922,  0.029 0,13.06, 0.026 0,12.575, 0.029 0,57,106,1,     NaN,  N,216,
WISEP_J154151.65-$225025.2,   null,   Y0.5,133,    null,235.4647,-22.84053,2455665.42,73.7,31.3,69,21.46, 0.130 0,21.12, 0.060 0,22.17, 0.250 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,153,160,1,     NaN,  I,133,
2MASS_J15462718-$3325111,   null,   T5.5,25,    null,236.61327,-33.41977,2451003.66,88,1.9,249,16.494, 0.071 1,15.405, 0.051 1,15.502, 0.092 1,15.603,  0.181 1,    NaN,   NaN 9,     NaN,   NaN 9,15.631,  0.051 0,15.446, 0.092 0,15.485, 0.181 0,"  57,68",212,1,     NaN,  W,23,
2MASSW_J1553022+153236A,   null,   T6.5,68,    null,238.25848,15.54416,2454577.01,75.1,0.9,68,                 NaN,   NaN 9,15.928, 0.034 0,16.341, 0.031 0,16.499,  0.032 0,    NaN,   NaN 9,     NaN,   NaN 9,16.417,  0.073 1,16.519, 0.164 1,16.066, 0.182 1,"  57,68,135,148",627,2,     NaN,  NK,"   26,68",
2MASSW_J1553022+153236B,   null,   T7.5,68,    null,238.25848,15.54416,2454577.01,75.1,0.9,68,                 NaN,   NaN 9,16.288, 0.038 0,16.716, 0.033 0,16.928,  0.034 0,    NaN,   NaN 9,     NaN,   NaN 9,16.767,  0.074 1,16.899, 0.164 1,16.496, 0.183 1,"  57,68,135,148",627,2,     NaN,  NK,"   26,68",
LSR_J1610-$0040A,   null,   null,  null,    subd,242.62085,-0.68139,2451243.86,31.02,0.26,59,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,603,2,     NaN,  null,   null,
LSR_J1610-$0040B,   null,   null,  null,    subd,242.62085,-0.68139,2451243.86,31.02,0.26,59,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,57,603,2,     NaN,  null,   null,
2MASS_J16150413+1340079,   null,   T6,172,    null,243.76723,13.66887,2451231.01,68.6,6.4,71,17.084, 0.105 1,16.107, 0.092 1,16.536, 0.254 1,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.35,  0.092 0,16.489, 0.254 0,    NaN,   NaN 9,"  57,68",343,1,     NaN,  null,   null,
HR_6037B,   null,   M9:,113,"    young,lo",wg          244.27250,-67.94126,2451652.74,19.15,0.42,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,14.1, 0.300 0,113,258,1,6.66,  V,113,
GJ_618.1B,   L2.5,   null,259,    null,245.10894,-4.27543,2451694.6,29.92,2.69,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,15.283,  0.049 0,14.348, 0.040 0,13.598, 0.038 0,57,259,1,35.9,  K,68,
SDSSp_J162414.37+002915.6,   null,   T6,25,    null,246.05986,0.48773,2451290.73,90.9,1.2,249,16.277, 0.071 1,15.2, 0.050 0,15.48, 0.050 0,15.61,  0.050 0,13.6, 0.040 0,     NaN,   NaN 9,15.494,  0.054 0,15.524, 0.100 0,15.488, 0.050 1,"  57,68,146,241",213,1,     NaN,  N,26,
2MASS_J16262034+3925190,   sdL4,   null,27,    subd,246.58476,39.42197,2450932.93,29.85,1.08,224,14.98, 0.058 1,14.388, 0.029 1,14.531, 0.050 1,14.443,  0.074 1,    NaN,   NaN 9,     NaN,   NaN 9,14.435,  0.029 0,14.533, 0.050 0,14.466, 0.074 0,"  57,68",204,1,     NaN,  null,   null,
SDSS_J162838.77+230821.1,   null,   T7,44,    null,247.16236,23.13878,2454577.02,75.1,0.9,68,17.272, 0.058 1,16.25, 0.030 0,16.63, 0.030 0,16.72,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.458,  0.102 0,16.107, 0.149 0,15.872, 0.239 0,"  44,57,68",150,1,     NaN,  null,   null,
SDSS_J163022.92+081822.0,   null,   T5.5,44,    null,247.59566,8.30616,2451687.79,46.9,10.1,71,                 NaN,   NaN 9,16.18, 0.030 0,16.35, 0.030 0,16.41,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.396,  0.113 0,16.332, 0.291 0,    NaN,   NaN 9,"  44,57",344,1,     NaN,  null,   null,
2MASSW_J1632291+190441,   L8,   L7.5,83128,    null,248.12131,19.07798,2450607.86,65.6,2.1,58,16.86, 0.071 1,15.77, 0.050 0,14.68, 0.050 0,13.97,  0.050 0,12.54, 0.050 0,13.07, 0.150 0,15.867,  0.070 0,14.612, 0.038 0,14.003, 0.047 0,"  57,68,146,148",136,1,     NaN,  W,14209,
WISE_J163940.83-$684738.6,   null,   Y0,250,    null,249.92016,-68.79407,2455266.98,200,20,250,                 NaN,   NaN 9,20.76, 0.080 0,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,250,374,1,     NaN,  K,85,
2MASSW_J1645221-$131951,   L1.5,   null,92,    null,251.34213,-13.33102,2451294.74,109.9,6.1,71,13.43, 0.057 1,12.385, 0.028 1,11.733, 0.025 1,11.117,  0.026 1,    NaN,   NaN 9,     NaN,   NaN 9,12.451,  0.028 0,11.685, 0.025 0,11.145, 0.026 0,"  57,68",345,1,     NaN,  null,   null,
LHS_3241,   M6.5,   null,213,    null,251.63145,34.58207,2451316.77,84.3,0.76,80,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.533,  0.018 0,9.968, 0.017 0,9.606, 0.020 0,57,154,1,     NaN,  null,   null,
WISE_J164715.57+563208.3,   null,   L9p,132,    v-red,251.81586,56.53492,2451308.91,116,29,132,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,16.59,  0.060 0,15.34, 0.060 0,14.48, 0.070 0,132,302,1,     NaN,  null,   null,
vB_8,   M7,   null,106,    null,253.89705,-8.39448,2451279.82,154.5,0.7,193,10.404, 0.058 1,9.731, 0.029 1,9.236, 0.024 1,8.789,  0.023 1,    NaN,   NaN 9,     NaN,   NaN 9,9.776,  0.029 0,9.201, 0.024 0,8.816, 0.023 0,"  57,68",194,1,235,  N,101,
2MASSW_J1658037+702701,   L1,   null,89,    null,254.51586,70.45043,2451626.88,53.9,0.7,58,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.288,  0.024 0,12.47, 0.032 0,11.915, 0.023 0,57,137,1,     NaN,  N,216,
DENIS-P_J170548.3-$051645,   L0.5,   L4,120219,    null,256.45143,-5.27951,2451268.82,44.5,12,5,14.275, 0.058 1,13.239, 0.030 1,12.6, 0.024 1,12.006,  0.021 1,    NaN,   NaN 9,     NaN,   NaN 9,13.309,  0.030 0,12.552, 0.024 0,12.032, 0.021 0,"  57,68",107,1,     NaN,  N,216,
2MASSI_J1711457+223204,   L6.5,   null,129,    null,257.94056,22.53456,2450614.83,33.11,4.81,255,18.086, 0.185 1,16.953, 0.178 1,15.858, 0.109 1,14.707,  0.098 1,    NaN,   NaN 9,     NaN,   NaN 9,17.089,  0.178 0,15.797, 0.109 0,14.727, 0.098 0,"  57,68",285,1,     NaN,  W,"   14,93",
GJ_660.1B,   null,   null,  null,    null,258.21338,-5.1236,2451268.91,50.1,3.62,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.052,  0.045 0,12.565, 0.023 0,12.227, 0.027 0,57,260,1,6,  null,   null,
VVV_BD001,   null,   L5:,7,    null,261.6696,-27.63314,2451006.66,57,4,7,14.379, 0.012 0,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.403,  0.029 0,12.659, 0.029 0,12.225, 0.028 0,"  7,57",375,1,     NaN,  null,   null,
2MASSW_J1728114+394859A,   null,   L5:,68,    null,262.0481,39.81643,2454577.09,38.7,0.7,68,                 NaN,   NaN 9,16.533, 0.078 1,15.382, 0.067 1,14.398,  0.049 1,    NaN,   NaN 9,     NaN,   NaN 9,16.623,  0.078 1,15.323, 0.068 1,14.414, 0.049 0,"  57,68",628,2,     NaN,  WNAK,"   14,17,3","1,68,93,137"
2MASSW_J1728114+394859B,   null,   L7:,68,    null,262.0481,39.81643,2454577.09,38.7,0.7,68,                 NaN,   NaN 9,16.763, 0.079 1,15.792, 0.068 1,14.968,  0.052 1,    NaN,   NaN 9,     NaN,   NaN 9,16.873,  0.079 1,15.733, 0.070 1,14.984, 0.050 0,"  57,68",628,2,     NaN,  WNAK,"   14,17,3","1,68,93,137"
LSPM_J1735+2634A,   null,   M7.5,68,    null,263.80446,26.57926,2454577.1,66.7,1.4,68,                 NaN,   NaN 9,11.703, 0.028 1,11.138, 0.031 1,10.667,  0.020 1,    NaN,   NaN 9,     NaN,   NaN 9,11.757,  0.028 1,11.099, 0.031 1,10.692, 0.021 1,"  57,68",629,2,     NaN,  YK,68140,
LSPM_J1735+2634B,   null,   L0:,68,    null,263.80446,26.57926,2454577.1,66.7,1.4,68,                 NaN,   NaN 9,12.272, 0.032 1,11.695, 0.031 1,11.155,  0.021 1,    NaN,   NaN 9,     NaN,   NaN 9,12.327,  0.032 1,11.659, 0.032 1,11.182, 0.023 1,"  57,68",629,2,     NaN,  YK,68140,
WISEP_J173835.52+273258.9,   null,   Y0,56,    null,264.64812,27.54967,2455458.08,101.5,17.7,69,19.86, 0.080 0,20.05, 0.090 0,20.45, 0.090 0,20.58,  0.100 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,153,388,1,     NaN,  I,133,
WISEP_J174124.26+255319.5,   T9,   T9,132,    null,265.35094,25.88859,2455458.07,179.8,14.7,69,17.23, 0.020 0,16.18, 0.020 0,16.31, 0.040 0,17.02,  0.200 0,    NaN,   NaN 9,     NaN,   NaN 9,16.48,  0.020 0,16.24, 0.040 0,16.89, 0.200 0,69132,303,1,     NaN,  null,   null,
2MASSW_J1750129+442404A,   null,   M6.5:,68,    null,267.55332,44.4019,2454577.1,30.3,1,68,                 NaN,   NaN 9,13.126, 0.023 1,12.633, 0.045 1,12.217,  0.018 1,    NaN,   NaN 9,     NaN,   NaN 9,13.172,  0.024 1,12.601, 0.045 1,12.243, 0.018 1,"  57,68,137",630,2,     NaN,  GK,137235,
2MASSW_J1750129+442404B,   null,   M8.5:,68,    null,267.55332,44.4019,2454577.1,30.3,1,68,                 NaN,   NaN 9,14.081, 0.026 1,13.402, 0.083 1,12.867,  0.021 1,    NaN,   NaN 9,     NaN,   NaN 9,14.141,  0.027 1,13.36, 0.083 1,12.894, 0.021 1,"  57,68,137",630,2,     NaN,  GK,137235,
2MASS_J17502484-$0016151,   null,   L5.5,121,    null,267.60351,-0.27087,2451257.91,108.5,2.6,5,14.339, 0.055 1,13.2, 0.023 1,12.471, 0.022 1,11.825,  0.021 1,    NaN,   NaN 9,     NaN,   NaN 9,13.294,  0.023 0,12.411, 0.022 0,11.849, 0.021 0,"  57,68",108,1,     NaN,  K,68,
SDSSp_J175032.96+175903.9,   null,   T3.5,25,    null,267.63724,17.98451,2451260.98,36.24,4.53,255,17.191, 0.071 1,16.14, 0.050 0,15.94, 0.050 0,16.02,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,16.34,  0.101 0,15.952, 0.132 0,15.478, 0.189 0,"  57,68,146",286,1,     NaN,  N,26,
2MASS_J17545447+1649196,   null,   T5.5,71,    null,268.72697,16.82213,2451606.02,87.6,10.2,71,16.562, 0.085 1,15.576, 0.069 1,15.712, 0.134 1,15.668,  0.158 1,    NaN,   NaN 9,     NaN,   NaN 9,15.808,  0.069 0,15.65, 0.134 0,15.556, 0.158 0,"  57,68",346,1,     NaN,  null,   null,
LP_44-162,   M7.5,   null,89,    null,269.31416,70.70033,2451316.83,52.4,1.1,160,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.452,  0.021 0,10.835, 0.019 0,10.397, 0.021 0,57,166,1,     NaN,  G,235,
SDSS_J175805.46+463311.9,   null,   T6.5,25,    null,269.52273,46.55275,2450973.88,70.99,1.86,253,16.913, 0.058 1,15.86, 0.030 0,16.2, 0.030 0,16.12,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,16.152,  0.088 0,16.254, 0.218 0,15.465, 0.191 0,"  57,68,135",294,1,198,  null,   null,
WISEP_J180435.40+311706.1,   null,   T9.5:,132,    null,271.1473,31.28515,2455465.71,60.4,11.4,69,                 NaN,   NaN 9,18.7, 0.050 0,19.21, 0.110 0,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,132,389,1,     NaN,  null,   null,
WISEP_J182831.08+265037.8,   null,   $\geq$Y2,133,    null,277.12961,26.84387,2455387.83,69.6,13.8,69,23.03, 0.170 0,23.48, 0.230 0,22.85, 0.240 0,23.48,  0.360 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,153,390,1,     NaN,  I,133,
2MASS_J18283572-$4849046,   null,   T5.5,25,    null,277.14884,-48.81795,2451825.54,83.7,7.7,71,15.875, 0.075 1,14.938, 0.056 1,14.967, 0.067 1,15.297,  0.144 1,    NaN,   NaN 9,     NaN,   NaN 9,15.175,  0.056 0,14.908, 0.067 0,15.181, 0.144 0,"  57,68",347,1,     NaN,  null,   null,
2MASSI_J1835379+325954,   M8.5,   null,214,    null,278.90792,32.9985,2450923.98,176.5,0.5,214,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,10.27,  0.022 0,9.617, 0.021 0,9.171, 0.018 0,57,197,1,     NaN,  null,   null,
