Object,    Opt SpT,    NIR SpT, SpT Refs,  flag,RA (deg),Dec (deg),Epoch (JD),plx,eplx, PlxRef,Ymag,eYmag ,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag,Mmag,eMmag,J2mag,eJ2mag,H2mag, eH2mag, K2mag,eK2mag, MKO+2MA,SS Refs,      sysID bin," compsep("")  HS",  HST/AO,HST AO Refs,
2MASS_J10043929-$3335189,   L4,   null,91,    null,151.16372,-33.58859,2451301.49,54.8,5.6,5,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.48,  0.035 0,13.49, 0.036 0,12.924, 0.024 0,57,104,1,     NaN,  null,   null,
2MASS_J10073369-$4555147,   null,   T5,172,    null,151.89041,-45.92075,2451592.65,71,5.2,71,16.548, 0.084 1,15.416, 0.068 1,15.736, 0.122 1,15.688,  0.229 1,    NaN,   NaN 9,     NaN,   NaN 9,15.653,  0.068 0,15.686, 0.122 0,15.56, 0.229 0,"  57,68",328,1,     NaN,  null,   null,
2MASSI_J1010148-$040649,   L6,   null,51,    null,152.5617,-4.11387,2451174.79,59.8,8.1,71,16.636, 0.077 1,15.421, 0.059 1,14.441, 0.037 1,13.602,  0.046 1,    NaN,   NaN 9,     NaN,   NaN 9,15.508,  0.059 0,14.385, 0.037 0,13.619, 0.046 0,"  57,68",329,1,     NaN,  null,   null,
TVLM_263-71765,   M8,   null,258,    null,152.75101,42.75099,2451230.83,31.9,2.9,246,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.363,  0.025 0,12.723, 0.024 0,12.316, 0.021 0,57,221,1,     NaN,  null,   null,
SSSPM_J1013-$1356,   sdM9.5,   null,27226,    subd,153.28061,-13.93901,2451214.74,20.28,1.96,224,15.109, 0.059 1,14.574, 0.032 1,14.394, 0.049 1,14.381,  0.078 1,    NaN,   NaN 9,     NaN,   NaN 9,14.621,  0.032 0,14.382, 0.049 0,14.398, 0.078 0,"  57,68",200,1,     NaN,  K,68,
2MASSI_J1017075+130839A,   null,   L1.5:,68,    null,154.28178,13.14424,2454514.94,30.2,1.4,68,                 NaN,   NaN 9,14.535, 0.086 2,13.94, 0.055 2,13.378,  0.023 1,    NaN,   NaN 9,     NaN,   NaN 9,14.593,  0.088 2,13.897, 0.055 2,13.4, 0.027 1,"  57,68",615,2,     NaN,  WK,"   14,68,9",3137
2MASSI_J1017075+130839B,   null,   L3:,68,    null,154.28178,13.14424,2454514.94,30.2,1.4,68,                 NaN,   NaN 9,15.095, 0.140 2,14.249, 0.069 2,13.505,  0.024 1,    NaN,   NaN 9,     NaN,   NaN 9,15.184,  0.147 2,14.198, 0.068 2,13.53, 0.028 1,"  57,68",615,2,     NaN,  WK,"   14,68,9",3137
ULAS_J101821.78+072547.1,   null,   T5,171,    null,154.59079,7.42977,2453733.14,25,2,183,18.9, 0.080 0,17.71, 0.040 0,17.87, 0.070 0,18.12,  0.170 0,    NaN,   NaN 9,     NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,171,175,1,     NaN,  null,   null,
2MASS_J10185879-$2909535,   L1,   null,91,    null,154.74498,-29.16488,2451243.6,35.3,3.2,5,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,14.213,  0.030 0,13.418, 0.024 0,12.796, 0.023 0,57,105,1,     NaN,  null,   null,
G_44-9,   M5.9,   null,233,    young,155.18362,8.23984,2451601.7,26.5,1.5,234,11.286, 0.001 0,10.854, 0.000 0,10.508, 0.001 0,9.873,  0.001 0,    NaN,   NaN 9,     NaN,   NaN 9,10.354,  0.022 0,9.764, 0.021 0,9.47, 0.021 0,57141,371,1,     NaN,  null,   null,
SDSS_J102109.69-$030420.1A,   null,   T0:,68,    null,155.29024,-3.07228,2454514.95,29.9,1.3,68,                 NaN,   NaN 9,16.684, 0.034 0,15.858, 0.032 0,15.6,  0.037 1,    NaN,   NaN 9,     NaN,   NaN 9,17.022,  0.102 1,15.791, 0.101 1,15.491, 0.173 0,"  57,68,97,144",616,2,     NaN,  NK,"   26,68,1",37
SDSS_J102109.69-$030420.1B,   null,   T5,68,    null,155.29024,-3.07228,2454514.95,29.9,1.3,68,                 NaN,   NaN 9,16.584, 0.033 0,16.588, 0.036 0,16.689,  0.066 1,    NaN,   NaN 9,     NaN,   NaN 9,16.991,  0.102 1,16.531, 0.103 1,16.491, 0.174 0,"  57,68,97,144",616,2,     NaN,  NK,"   26,68,1",37
TVLM_213-2005,   null,   null,  null,    null,155.36428,50.91787,2451175.95,30.1,0.4,58,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,13.393,  0.023 0,12.739, 0.023 0,12.256, 0.022 0,57,129,1,     NaN,  null,   null,
HD_89744B,   L0,   null,259,    null,155.56204,41.24075,2450908.68,25.36,0.31,253,15.845, 0.062 1,14.846, 0.037 1,14.064, 0.033 1,13.582,  0.039 1,    NaN,   NaN 9,     NaN,   NaN 9,14.901,  0.037 0,14.022, 0.033 0,13.608, 0.039 0,"  57,68",251,1,63.1,  K,68,
SDSS_J103026.78+021306.4,   null,   L9.5:,135,    null,157.61161,2.21847,2451902.47,24.8,10.6,71,18.214, 0.071 1,17.1, 0.050 0,16.27, 0.050 0,15.67,  0.050 0,    NaN,   NaN 9,     NaN,   NaN 9,17.219,  0.050 1,16.208, 0.050 1,15.683, 0.050 1,68135,330,1,     NaN,  null,   null,
HD_91324B,   null,   null,  null,    null,157.88477,-53.63363,2451558.77,45.85,0.19,253,                 NaN,   NaN 9,    NaN,   NaN 9,    NaN,   NaN 9,    NaN,    NaN 9,    NaN,   NaN 9,     NaN,   NaN 9,11.837,  0.023 0,11.313, 0.024 0,10.991, 0.023 0,57,355,1,309,  null,   null,
2MASSW_J1036530-$344138,   L6,   null,92,    null,159.22108,-34.69391,2451260.63,61.5,9.1,71,16.619, 0.069 1,15.515, 0.048 1,14.501, 0.035 1,13.788,  0.043 1,    NaN,   NaN 9,     NaN,   NaN 9,15.622,  0.048 0,14.446, 0.035 0,13.798, 0.043 0,"  57,68",331,1,     NaN,  null,   null,
SDSS_J104335.08+121314.1,   null,   L6,135,    null,160.89618,12.22082,2451137,68.5,10.6,71,16.895, 0.058 1,15.82, 0.030 0,14.87, 0.030 0,14.2,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,15.997,  0.088 0,14.969, 0.077 0,14.258, 0.066 0,"  44,57,68",332,1,     NaN,  null,   null,
SDSS_J104409.43+042937.6,   null,   L7,135,    null,161.03927,4.49381,2451583.83,51.3,10.1,71,16.964, 0.058 1,15.84, 0.030 0,14.97, 0.030 0,14.32,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,15.881,  0.077 0,14.95, 0.074 0,14.259, 0.086 0,"  57,68,135",333,1,     NaN,  null,   null,
2MASSI_J1047538+212423,   T7,   T6.5,"  22,25",    null,161.97439,21.40652,2450842.92,94.73,3.81,255,16.442, 0.058 1,15.46, 0.030 0,15.83, 0.030 0,16.2,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,15.819,  0.059 0,15.797, 0.120 0,16.076, 0.030 1,"  57,68,146",279,1,     NaN,  W,23,
LHS_292,   M6.5,   M6.5,83125,    null,162.05243,-11.33562,2451203.81,220.3,3.6,252,                 NaN,   NaN 9,8.92, 0.050 0,8.39, 0.050 0,7.95,  0.050 0,7.45, 0.050 0,7.65, 0.070 0,8.857,  0.021 0,8.263, 0.036 0,7.926, 0.033 0,57146211,237,1,     NaN,  s,155,
LHS_2314,   M6,   null,208,    null,162.26411,5.03964,2451586.71,41.1,2.3,193,                 NaN,   NaN 9,12.42, 0.030 0,11.82, 0.030 0,11.52,  0.030 0,    NaN,   NaN 9,     NaN,   NaN 9,12.535,  0.024 0,11.97, 0.024 0,11.596, 0.019 0,57143,188,1,     NaN,  null,   null,
