datetime,FILENAME,FILTER,ORBIT,POSANG,DITHER,EXPOSURE_SET,EXPOSURE_TIME,XOFF,YOFF,XCENTER,YCENTER,PSF_ID,PSF_AMPLITUTE,SKY_LEVEL,SKY_SIGMA,FLUX,FLUXERR,XFWHM,YFWHM,HEADERX,HEADERY
2013-10-16 20:56:16,icdg10umq_flt.fits,F160W,10,129.0,0,5,14.970785000000001,15.983802795410154,8.330253601074219,129.09571838378906,222.2804412841797,10.0,1.0016599893569946,0.03446965292096138,2.0987806320190434,8350.83203125,30.1272087097168,1.386897087097168,1.5289791822433472,128.996536685,222.001256145
2013-10-16 20:56:49,icdg10unq_flt.fits,F160W,10,129.0,0,5,14.970785000000001,15.981582641601562,8.316978454589844,129.10108947753906,222.28094482421875,10.0,1.0015499591827393,0.07771410048007965,2.062772512435913,8424.1259765625,30.01071929931641,1.3950226306915283,1.5455787181854248,128.996530291,222.0013158
2013-10-16 20:57:22,icdg10uoq_flt.fits,F160W,10,129.0,0,5,14.970785000000001,15.969131469726562,8.324722290039062,129.102783203125,222.2832489013672,10.0,1.0002299547195437,0.03736208751797676,2.132415771484375,8372.0859375,30.33762168884277,1.3883860111236572,1.545931100845337,128.996523786,222.00137649
2013-10-16 20:57:55,icdg10upq_flt.fits,F160W,10,129.0,0,5,14.970785000000001,15.978713989257812,8.339302062988281,129.10345458984378,222.29034423828125,10.0,1.0025399923324585,0.014705424197018147,2.03005599975586,8380.5244140625,29.78415870666504,1.3944774866104126,1.5556374788284302,128.996517182,222.001438102
2013-10-16 20:58:28,icdg10uqq_flt.fits,F160W,10,129.0,0,5,14.970785000000001,15.986068725585938,8.325775146484375,129.10099792480472,222.286376953125,10.0,1.0037500858306885,0.05594292283058167,2.08089017868042,8400.8828125,30.0841007232666,1.4007192850112915,1.5621453523635864,128.996510485,222.001500588
2013-10-16 20:59:07,icdg10urq_flt.fits,F125W,10,129.0,0,6,29.663755,15.921310424804688,8.293296813964844,129.17787170410156,222.1102600097656,2.0,1.0012199878692627,0.056654028594493866,1.4479960203170776,8121.2451171875,20.98328399658203,1.459547758102417,1.4440008401870728,128.99821278,222.004624731
2013-10-16 20:59:55,icdg10usq_flt.fits,F125W,10,129.0,0,6,29.663755,15.906082153320312,8.307205200195312,129.19976806640622,222.08712768554688,2.0,1.0015499591827393,0.048655211925506585,1.4738903045654297,8191.3984375,21.181882858276367,1.478720784187317,1.4325727224349976,128.998202741,222.004718411
2013-10-16 21:00:43,icdg10utq_flt.fits,F125W,10,129.0,0,6,29.663755,15.885467529296875,8.338638305664062,129.15975952148438,222.14495849609372,2.0,0.999459981918335,-0.0010602570837363599,1.4786878824234009,8160.89306640625,21.18416404724121,1.4375324249267578,1.4505703449249268,128.998192577,222.004813262
2013-10-16 21:01:31,icdg10uuq_flt.fits,F125W,10,129.0,0,6,29.663755,15.917465209960938,8.311454772949219,129.20652770996094,222.1024932861328,2.0,1.0012199878692627,0.02643642760813236,1.4698565006256104,8156.31201171875,21.131643295288086,1.484835505485535,1.4423606395721436,128.998182316,222.004909021
2013-10-16 21:02:25,icdg10uvq_flt.fits,F160W,10,129.0,0,7,14.970785000000001,15.979957580566404,8.330078125,129.10102844238278,222.3131866455078,10.0,0.9996799826622008,0.001551860012114048,2.038533926010132,8385.21875,29.83536720275879,1.3958901166915894,1.5870767831802368,128.996460422,222.00196767
